"Service","Relational Database Service($)","EC2-Other($)","EC2-Instances($)","VPC($)","WAF($)","Elastic Load Balancing($)","Registrar($)","S3($)","Route 53($)","CloudWatch($)","Tax($)","Key Management Service($)","Total costs($)"
"Service total","1973.6753743206","286.3283652879","250.0552534341","152.07260833","113.9999992632","97.7958525805","71","13.2388642325","6.1562032","0","0","0","2964.3225206488"
"2025-02-01","12.2549149769","1.6119681833","1.3824002546","0.84","0.678571416","0.5406296843","","0.0770035033","1.000564","0","0","","18.3860520184"
"2025-02-02","12.2563569942","1.6155758903","1.3826187777","0.84","0.678571416","0.5402281426","","0.0769514638","0.0007088","0","","","17.3910114846"
"2025-02-03","12.2558955658","1.6202141879","1.3825966941","0.84","0.678571416","0.5402139515","","0.0775402326","0.0010132","0","","","17.3960452479"
"2025-02-04","12.2559782264","1.6238486568","1.3831579444","0.84","0.678571416","0.5406001316","","0.0785347158","0.000856","0","","","17.401547091"
"2025-02-05","12.2538719294","1.6210578606","1.3827739485","0.84","0.678571416","0.5405819103","","0.0778748216","0.001064","0","","","17.3957958864"
"2025-02-06","12.2551696388","1.6223113703","1.3829384106","0.842119445","0.678571416","0.5405914646","","0.0781176976","0.0008888","0","","","17.4007082429"
"2025-02-07","12.2542429485","1.6219936556","1.3830303482","0.84","0.678571416","0.5403665471","","0.0782812816","0.00083","0","","","17.397316197"
"2025-02-08","12.2555016032","1.61820098","1.3824009023","0.84","0.678571416","0.5401045386","","0.0768474743","0.0005196","0","","","17.3921465144"
"2025-02-09","12.2555457506","1.6181527761","1.3824668949","0.84","0.678571416","0.5401181956","","0.0769391687","0.00046","0","","","17.3922542019"
"2025-02-10","12.2533912869","1.6213193427","1.3828612693","0.84","0.678571416","0.5402663466","","0.0779864082","0.0013628","0","","","17.3957588697"
"2025-02-11","12.2546466224","1.6202187548","1.3826654048","0.84","0.678571416","0.540199442","","0.077608051","0.0008904","0","","","17.394800091"
"2025-02-12","12.2543840213","1.6207659407","1.3829000331","0.84","0.678571416","0.5401572401","","0.0779575528","0.0009172","0","","","17.395653404"
"2025-02-13","12.255166426","1.6216384934","1.3831452179","0.841256945","0.678571416","0.5401411314","","0.0781533368","0.0009708","0","","","17.3990437665"
"2025-02-14","12.2568283398","1.6219941489","1.3827560293","0.84","0.678571416","0.5401100963","","0.0776784196","0.0010244","0","","","17.3989628499"
"2025-02-15","12.2550620445","1.6191615417","1.3824814778","0.84","0.678571416","0.5401420898","","0.0772310022","0.0008064","0","","","17.393455972"
"2025-02-16","12.2558082311","1.6179827524","1.3824","0.84085","0.678571416","0.5401336859","","0.0769336236","0.0006968","0","","","17.393376509"
"2025-02-17","12.2539772205","1.6196221343","1.3824406276","0.84","0.678571416","0.5401492288","","0.0775530484","0.0008288","0","","","17.3931424756"
"2025-02-18","9.1459556102","1.6208230435","1.3826173538","0.84","0.678571416","0.5401488556","","0.0784925351","0.000884","0","","0","14.2874928142"
"2025-02-19","0.4905969072","1.6207155656","1.3827413882","0.84","0.678571416","0.5401670953","","0.0778285096","0.0008872","0","","","5.6315080819"
"2025-02-20","0.4905969072","1.621342031","1.3828806626","0.84","0.678571416","0.5401439548","","0.0781120792","0.000792","0","","","5.6324390508"
